Baltic,North sea,est/cand,ScientificName_accepted,AphiaID_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,Form,Area of origin,Sub basins,First observed year,Status,Characteristics,Salinityn max,Salinity n min,Salinity b max,Salinity b min,Vector,Impact,Impact severeness,Comments
yes,yes,est,Crepidula fornicata,138963,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,,fornicata,,Fouling,North America,"K, LF11",19349,Established,Benthic suspension feeder.,30,18,30,5,Associated,"competition, habitat change, transfer of parasites and diseases,  aquaculture, fisheries, tourism, water abstractions, water quality",,
yes,yes,est,Didemnum vexillum,250126,Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,,vexillum,,,Porbably Japan (Puget Sound Marine Invasive Species vounteer monitoring program),,,,,40,18,,,,,,
yes,yes,est,Dikerogammarus villosus,148586,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Dikerogammarus,,villosus,,Free swimming,PontoCaspian 2°Central European rivers,OL,1999,Established,Nektobenthic invertebrate.,12,0,3,0,"Stocking, Shipping","Competition, predation, host for parasite",,
yes,yes,est,Dinophysis sacculus,232261,Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysiaceae,Dinophysis,,sacculus,,,,,,,,34,15,,,,,,
yes,yes,est,Dreissena bugensis,505319,Animalia,Mollusca,Bivalvia,Myida,Dreissenidae,Dreissena,,bugensis,,Fouling,PontoCaspian,GoF,2004,Unknown,Benthic suspension feeder. ,0.5,0,3,0,Shipping,"Competition, habitat change, fisheries, human health, tourism, water quality",,USGS fact sheet: http://nas.er.usgs.gov/queries/factsheet.aspx?speciesid=95
yes,yes,est,Dreissena polymorpha,181566,Animalia,Mollusca,Bivalvia,Myida,Dreissenidae,Dreissena,,polymorpha,,Fouling,PontoCaspian,"CL, GoF, GoR, OL, VL, BP11, K11",1800’s,Established,Benthic suspension feeder.,3,0.5,3,0,Shipping,"Competition, habitat change, transfer of parasites and diseases, aquatic transport, fisheries, human health, water abstractions, water quality",,"NOBANIS: http://www.nobanis.org/files/factsheets/Dreissena_polymorpha.pdf
USGS: http://nas.er.usgs.gov/queries/factsheet.aspx?speciesid=5"
no,yes,est,Austrominius modestus,712167,Animalia,Arthropoda,Hexanauplia,Sessilia,Austrobalanidae,Austrominius,,modestus,,Fouling,Australia and New Zealand,,,,"Benthic suspension feeder, Salinity range: euryhaline",35,16,,,Shipping,"Competition, fouling",,
yes,yes,est,Ensis leei,876640,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Ensis,,leei,,,North America,,,,,32,7,,,,,,
no,yes,est,Ensis leei,876640,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Ensis,,leei,,Benthic,North America,"K, LF11, KF11",1981,Established,Benthic deposit feeder. ,40,10,30,10,Shipping,"Competition, habitat chnge, fisheries, human health",,
no,yes,est,Eriocheir sinensis,107451,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Eriocheir,,sinensis,,Free walking,China Seas,"BP, CL, GoB, GoF, GoR, K, OL, VL, LF11, KF11",1926,Not estab.(migrating to the Baltic from Atlantic rivers),Benthic omnivore.,30,0,30,0,Shipping,"Competition, habitat change, transfer of parasites and diseases, aquaculture, fisheries, tourism, water abstractions",,
